title,abstract,authors,keywords,doi,url,year,asreview_label,asreview_time,asreview_note
Class association rule mining using multidimensional numbered information spaces,"Data mining is of great importance in the overall process of knowledge discovery. In this dissertation we focused our attention in the part of discoveryoriented methods and especially classification algorithms. Class-Association Rules (CAR) algorithms have a special place within the family of classification algorithms. This type of classifiers offers a number of advantages: efficiency of the training regardless of the training set; easy handling with high dimensionality; very fast classification; high accuracy; classification model easily comprehensible for humans. The main classification workflow of CAR algorithms usually involves three phases: generating the rules, pruning, and recognition. The mining of association rules is a typical data mining task that works in an unsupervised manner. A major advantage of association rules is that they are theoretically capable to reveal all interesting relationships in a database. But for practical applications the number of mined rules is usually too large to be exploited entirely. Hence, a pruning phase is applied in order to build accurate and compact classifiers. The pruning can be applied during preprocessing, simultaneously to the association rules mining, or during post-processing. Different rule quality measures and rule ordering schemes can be applied in the process of rule selection. There are also different options which can be considered for the recognition phase – e.g. to use a simple rule or to use a set of rules with different types of ordering schemas. On the other hand, the process of creating classification models inevitably touches upon the use of appropriate access methods which facilitate access to different kinds of structures used in such algorithms. Our effort had been focused on the memory organization called Multidimensional numbered information spaces which allows to operate with contextfree multidimensional data structures. The program realization of such structures is named ArM 32. Multi-Domain Information Model (MDIM) and respectively Arm 32 are based on the process of replacing names by numbers which allows to use mathematical functions and addressing vectors for accessing the information. Our approach is to use such structures and operations in the implementation of one class association rule classifier in order to provide evidence on the vitality of the idea of using context-free multidimensional data structures and direct access as a powerful tool for knowledge discovery. We have proposed two classification algorithms – Pyramidal Growing Networks (PGN) and Multi-layer Pyramidal Growing Networks (MPGN). PGN creates association rules, optimized for maximal accuracy of produced rules. One of the main characteristics of PGN is that it is a parameter-free classifier. The association rule mining is executed from the longest rules to the shorter ones until no intersections between patterns in the classes are possible. In the pruning phase the contradictions and inconsistencies of more general rules are cleared, after that the pattern set is compacted excluding all more concrete rules within the classes. PGN is introduced as a useful tool for questioning the support-first principle used by many associative classifiers when mining for association rules. PGN reverses the common approach and focuses primarily on the confidence of the association rules and only in a later stage on the support of the rules. The main purpose is twofold: to provide a proof of concept for this new approach and to gather evidence on its potential. MPGN is based on multilayer structure. It involves possibility to escape combinatorial explosion using smart disposing of the information in the multilayer structures called ""pyramids"". These structures can be easily implemented using ArM-structures. These algorithms are implemented in the data mining environment PaGaNe, developed by the team from the Institute of Mathematics and Informatics – Bulgarian Academy of Sciences; Iliya Mitov and Krassimira Ivanova are the principal developers. PaGaNe incorporates different types of statistical analysis methods, discretization algorithms, association rule miner, as well as classification algorithms, which all are based on the use of multi-dimensional numbered information spaces. The Lenses dataset is used as a test example to illustrate the specifics of the proposed algorithms, the process of creating classification models as well as the process of recognition. We demonstrate that PGN produces the pattern set that is both minimal and complete for covering the learning set, which is an indicator for expectation that PGN will produce tight model and good accuracy results. In the case of MPGN we have demonstrated the process of creating main construction elements. We also have illustrated the functionality which allows to visualize how the pyramids are being created and how the queries are being recognized. We carried out experiments with 25 datasets from the UCI machine learning repository [Frank and Asuncion, 2010]. The experiments had been conducted using the data mining environment PaGaNe, the knowledge analysis system Weka, and LUCS-KDD Repository. A comparison between PGN, MPGN and some other CAR algorithms, as well as decision tree and decision rule classifiers which have similar behavior of creating the task model, had been done. One series of experiments aimed to study what accuracy had been obtained while preprocessing real data with different discretizators realized in PaGaNe. We found that in general PGN-classifier trained on data preprocessed by Chimerge with 95trained on data preprocessed by the other discretization methods. The main reason for this is that using Chi-square statistical measure as criterion for class dependency in adjacent intervals of a feature results in good separation between class labels. A second set of experiments studied the process of growing the learning sets and how this reflects on the classification model and the accuracy of PGN and MPGN; more specifically, we studied the critical point of the amount of the learning set in which classification model is relatively compact and the received accuracy stabilizes. Of course this critical point highly depends on the choice of dataset. A third set of experiments were focused on analyzing different exit points of MPGN. The received results showed that in a lot of cases the build constructs lead to excluding only one class as best competitor. Other cases usually fall into competition between classes, where different strategies for ordering the competitors can be applied. A very few cases fall into the way where MPGNalgorithm did not work and alternative choice is given. A fourth set of experiments aimed to analyze the dependencies of classifiers' behaviors when the noise rush in the dataset attributes; for this set we used the Monks1 dataset. The experiments demonstrated that noising in the dataset worsens considerably the accuracy of PGN which had been designed to perform well in clear datasets. However, experiments with other existing classifiers showed that they also were not been able to resist noising attacks. We made the comparison of overall accuracy between PGN, MPGN (with two recognition strategies – S1 and S2), CMAR, OneR, JRip, J48 and REPTree. The Friedman test showed statistical difference between tested classifiers. The post-hoc Nemenyi test showed that our PGN has best overall performance between examined classifiers and MPGN is competitive with CMAR, J48, JRip and REPTree. The experimental results are very positive and show that PGN is competitive with classification methods that build similar classification behavior. At the same time, it has an essential advantage over the other classifiers being parameter free. Furthermore, the empirical results showed that PGN is slightly more sensitive to noise than techniques such as C4.5 and RIPPER. However, its overall accuracy was still very good compared to these classifiers. In general, the results provide evidence that the confidence-first approach yields interesting opportunities for knowledge discovery.",MITOV Iliya,review:Decision=excluded; review:Time=2025-09-05 15:17,,,2011,0,2025-09-05 15:17,
Multi-variant pyramidal clustering and analysis high-dimensional data,In this work an example of multi-variant clustering is presented. The problems to be solved are described and multi-variant clustering based on pyramidal multi-layer multi-dimensional structures is outlined. The conclusion is that the multi-variant clustering combined with pyramidal generalization and pruning gives reliable results.,Markov Krassimir; Ivanova Krassimira B; Velychko Vitalii,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:17,,,2012,0,2025-09-05 15:17,
Evaluating SPARQL-based model checking: Potentials and limitations,"Model checking is an important task in the BIM collaboration process to prevent expensive planning errors. The submodels of the individual disciplines are transferred into a coordination model. Part of the transfer is a conversion into an exchange format. The exchange format allows the import into the model checking application. In the model checking application routines are performed to check the model against collisions and building regulation violations. During the transfer into the exchange format, information may get lost, especially with parameters that are not yet part of the exchange format supported by the authoring software. In recent years, ontologies have been investigated as a feasible approach to combine the submodels, since they model data in a flexible manner. Hence in the conversion process to an application-specific ontology, the data structure of the submodels can widely persist, which could lead to smaller information loss in comparison to converting the data into a standardized exchange format. The evaluation of the geometric properties of the building is indispensable for detecting and analyzing collisions. The basis for the connection of the different sub models could be the BOT (Building Topology Ontology), which defines the topological structure of a building and can be used to represent further building information by linking it with other ontologies. The relevant geometric relationships for the collision model checks have to be derived with a geometry kernel. For the research in this paper pythonOCC, a wrapper for the geometry kernel Open CASCADE is used with the Semantic Web's own query language SPARQL, queries can be formulated to analyze the collision relationships in combination with other semantic information. These queries can be used to verify model correctness. By connecting the information from different domains, more sophisticated tests are possible than in an exchange format dependent model checking application. The goal is to integrate the developed functionalities into a project platform. This platform is based on an extensive project description in an ontology-based data model and is connected to different authoring tools for the exchange of information.",Hoffmann A; Shi M; Wagner A; Thiele C-D; Huyeng T-J; Rüppel U; Sprenger W,review:Decision=included; review:Time=2025-09-05 15:17,10.1201/9781003191476-11,,2021,1,2025-09-05 15:17,
From concept to reality: a contemporary framework for virtual designing and commissioning processing plant systems,"The design and commissioning of process systems involve complex procedures often guided by digital Mock-Ups, replacing physical prototypes. This study presents a comprehensive framework integrating Virtual Commissioning, 3D CAD modeling, and industry standards to enhance the design process of such systems, supporting first-time-right implementations. The methodology combines literature review, industry standards, and case studies from the feed processing industry. The framework emphasizes interoperability, data model integrity, simulation, and cross-disciplinary communication. Findings suggest a refined model structure for modern manufacturing complexities, with practical implications for industry practitioners. Future research should refine the framework and explore broader industrial applications, improving implementation processes.",Nielsen Mads Kjærgaard; Beliatis Michail J.; Tambo Torben,review:Decision=excluded; review:Time=2025-09-05 15:16,10.1016/j.procs.2025.01.159,,2025,0,2025-09-05 15:16,
An Approach to Multi-Domain Data Model Development Based on the Model-Driven Architecture and Ontologies,"To date, there are many diverse data representation technologies (EDIFACT, XML, JSON, CSV, relational model, NoSQL). Transition to new technologies or the integration of information systems based on different technological stacks is a complex and expensive process. Platform-independent models take an important role in this process. The structure of such a model is described in this article. However, given the data model has been created at the junction of different domains, it may be not enough. In such case, a one more step of abstraction and a movement to the computation-independent model is required. The authors propose to create it in an ontological form.",Nikiforov Denis A; Lisikh Igor G; Sivakov Ruslan L,⛔ No DOI found; review:Decision=included; review:Time=2025-09-05 15:16,,,2015,1,2025-09-05 15:16,
Increased efficiency in virtual commissioning with automated model generation based on component libraries,"The use of Virtual Commissioning (VC) is becoming increasingly relevant for the engineering of automation systems. VC allows for validating concepts and design solutions in the early phases of product development, thereby improving communication among disciplines, reducing the costs for bug fixing and accelerating the overall engineering process, in particular the commissioning of plants and machines. However, as an additional software tool in engineering, the introduction of VC causes initial training and more importantly continuous extra modelling efforts. An approach to overcome this flaw is the automated generation of VC models based on existing engineering information from the system or domain level – ideally in tandem with the reuse of solution models from previous project. The latter can prove particularly beneficial in the context of modular building-block systems as often pursued in automation engineering.",Pyschny Nicolas; Rudat Ben; Permin Eike,review:Decision=excluded; review:Time=2025-09-05 15:16,10.1016/j.procir.2022.05.258,,2022,0,2025-09-05 15:16,
no doi title,,,review:Decision=excluded; review:Time=2025-09-07 10:05; review:Reason=out of scope,,,2021,0,2025-09-07 10:05,out of scope
THE B-TERMINAL BUSY PROBABILITY PREDICTION,"In the teletraffic engineering of all the telecommunication networks, parameters characterizing the terminal traffic are used. One of the most important of them is the probability of finding the called (B-terminal) busy. This parameter is studied in some of the first and last papers in Teletraffic Theory. We propose a solution in this topic in the case of (virtual) channel systems, such as PSTN and GSM. We propose a detailed conceptual traffic model and, based on it, an analytical macro-state model of the system in stationary state, with: Bernoulli–Poisson–Pascal input flow; repeated calls; limited number of homogeneous terminals; losses due to abandoned and interrupted dialling, blocked and interrupted switching, not available intent terminal, blocked and abandoned ringing and abandoned conversation. Proposed in this paper approach may help in determination of many network traffic characteristics at session level, in performance evaluation of the next generation mobile networks.",Poryazov Stoyan,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:17,,,,0,2025-09-05 15:17,
Storing RDF graphs using NL-addressing,"NL-addressing is a possibility to access information using natural language words as addresses of the information stored in the multi-dimensional numbered information spaces. For this purpose the internal encoding of the letters is used to generate corresponded co-ordinates. The tool for working in such style is named OntoArM. Its main principles, functions and using for storing RDF graphs are outlined in this paper",Velychko Vitalii; IVANOVA Krassimira; MARKOV Krassimir,⛔ No DOI found; NL-addressing; ontology representations.; RDF graphs; review:Decision=excluded; review:Time=2025-09-05 15:18,,,2012,0,2025-09-05 15:18,
Data independence in the multi-dimensional numbered information spaces,The concept of data independence designates the techniques that allow data to be changed without affecting the applications that process it. The different structures of the information bases require corresponded tools for supporting data independence. A kind of information bases (the Multi-dimensional Numbered Information Spaces) are pointed in the paper. The data independence in such information bases is discussed.,Markov Krassimir,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:17,,,2008,0,2025-09-05 15:17,
,,,,,,,,,
has doi,,,review:Decision=included; review:Time=2025-09-07 10:00; review:Reason=looks relevant,,,2020,1,2025-09-07 10:00,looks relevant
,,,,,,,,,
Building data warehouses using numbered information spaces,An approach for organizing the information in the data warehouses is presented in the paper. The possibilities of the numbered information spaces for building data warehouses are discussed. An application is outlined in the paper.,Markov Krassimir,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:17,,,2006,0,2025-09-05 15:17,
,,,,,,,,,
Decentralization in industry 4.0 supported by opc ua multi-domain information models: Case study and implementation challenges,"This paper introduces an OPC UA multi-domain information model aimed at supporting decentralization in industrial automation and includes a case study addressing the implementation challenges associated with integrating standards such as Device, PackML, ISA95, and AAS. The developed model enables interoperability and harmonization of information models across various domains, which is crucial for Industry 4.0 applications. The work highlights the paradox of decentralization, where independent modules require centralized control and data coordination, necessitating a unified information model. Key contributions include the proposal of methods to address technical challenges related to data type compatibility and inheritance of properties across domains. Additionally, the text emphasizes the importance of system integration for data acquisition from physical assets. A comparative analysis of implementation on PLCs, on-premises computing platforms, and cloud environments highlights tradeoffs in deployment depending on system complexity and response time requirements. The study results may assist in developing an information model for a decentralized unit in Industry 4.0.",Pribiš Rudolf; Beňo Lukáš; Pajpach Martin; Drahoš Peter; Kocák Ondrej,Interoperability; multi-domain information model; Data models; Computational modeling; decentralization; Fourth Industrial Revolution; Industry 4.0; OPC UA; Proposals; Servers; Standards; Synchronization; System integration; Time factors; review:Decision=included; review:Time=2025-09-05 15:16; review:Reason=Om een reden,10.1109/KI64036.2025.10916421,,2025,1,2025-09-05 15:16,Om een reden
